Category,Abstract,Title,Reference Number,Center,Patent Number,Serial Number,Expiration Date,Facility,Office,Address1,Address2,City State Zip,Contact Name,Contact Email,Contact Phone
materials and coatings,,High Strength Nanocomposite Glass Fibers,LEW-18714-1,GRC,,"13/361,220",1970-01-01 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"A large strain polymer nanocomposite actuator is provided that upon subjected to an external stimulus, such as a magnetic field (static or electromagnetic field), an electric field, thermal energy, light, etc., will deform to thereby enable mechanical manipulations of structural components in a remote and wireless manner.",Large Strain Transparent Magneto-active Polymer Nanocomposites,LEW-18752-1,GRC,,"13/686,000",2031-11-28 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Systems and methods that are capable of measuring temperature via spectrophotometry principles are discussed herein. These systems and methods are based on the temperature dependence of the reflection spectrum of hematite. Light reflected from these sensors can be measured to determine a temperature, based on changes in the reflection spectrum discussed herein.",Surface Temperature Measurement Using Hematite Coating,LEW-18761-1,GRC,,"13/247,601",1970-01-01 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,A method and an apparatus confer full superelastic properties to the active surface of a mechanical component constructed of a superelastic material prior to service. A compressive load is applied to the active surface of the mechanical component followed by removing the compressive load from the active surface whereby substantially all load strain is recoverable after applying and removing of subsequent compressive loads.,"Prestressing Shock Resistant Mechanical Components and Mechanisms Made From Hard, Superelastic Materials",LEW-18785-1,GRC,,"13/246,440",2031-09-27 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,,Porous Cross-Linked Polyimide-UREA Networks,LEW-18825-1,GRC,0,"13/804,546",2033-03-14 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Method and apparatus for enhancing the durability as well as the strength and stiffness of prepreg fiber tows of the sort used in composite materials are disclosed. The method involves adhering electrospun fibers onto the surface of such composite materials as filament-wound composite objects and the surface of prepreg fiber tows of the sort that are subsequently used in the production of composite materials of the filament-wound, woven, and braided sorts. The apparatus performs the methods described herein.",Electrospun Nanofiber Coating Of Fiber Materials: A Composite Toughening Approach,LEW-18844-1,GRC,,"13/918,333",2033-06-14 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,,Polyimide Aerogel Thin Films,LEW-18864-1,GRC,,"13/756,855",2032-02-03 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Advanced environmental barrier coating bond coat systems with higher temperature capabilities and environmental resistance are disclosed. These bond coat systems can be applied to ceramic substrates such as SiC/SiC ceramic matrix composite substrates, and can provide protection from extreme temperature, mechanical loading and environmental conditions, such as in high temperature gas turbines. Example bond coat systems can include either an advanced silicon/silicide component, an oxide/silicate component, or a combination thereof.",Advanced High Temperature and Fatigue Resistant Environmental Barrier Coating Bond Coat Systems for SiC/SiC Ceramic Matrix Composites,LEW-18949-1,GRC,,"13/923,450",2033-06-21 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,An engineered matrix is provided to blunt and self-heal matrix cracks to reduce oxygen ingress into a fiber reinforced composite.,Engineered Matrix Self-Healing Composites,LEW-18964-1,GRC,,"13/905,333",2033-05-30 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Methods that facilitate exfoliation of hexagonal boron nitride (hBN), exfoliated hBN, and associated intermediate products are disclosed. Such a method can include the acts of mixing a sample of hBN with an activation agent (e.g., NaF, etc.) and a selected set of chemicals (e.g., a metal chloride) and intercalating the set of chemicals into the hBN to obtain intercalated hBN. Additionally, such a method can include the acts of hydrating the set of chemicals (i.e., the intercalates), and converting the set of chemicals to a set of oxide nanoparticles when exfoliating the intercalated hBN. The exfoliated hBN can be washed (e.g., with HCl, etc.) to remove remaining nanoparticles.",Methods for Intercalating and Exfoliating Hexagonal Boron Nitride,LEW-18970-1,GRC,,"14/158,080",2034-01-17 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"One or more substitutional elements may be used to reduce the solution treatment temperature and required quench rates for hardening of 60-NITINOL. The advantages of modified NITINOL include that less energy is consumed during the heat treatment process, the material is subjected to less thermal distortion, and less machining is required. Modified NITINOL may have adequate hardness for bearing applications and may display highly elastic behavior.","High Hardness, High Elasticity Intermetallic Compounds for Mechanical Components",LEW-19029-1,GRC,,"14/191,708",2034-02-27 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Polyamide aerogels and methods of making the same are discussed. One example method can include the act of creating a mixture of at least one diamine with at least one diacid chloride in a first solvent. The mixture can comprise a plurality of amine capped polyamide oligomers. Such a method can also include the acts of adding a cross-linking agent to the mixture to create a gel and performing one or more solvent exchanges to remove the first solvent. Additionally, such a method can include the act of subjecting the gel to supercritical drying to polyamide aerogel.",Process for Preparing Aerogels from Polyamides,LEW-19053-1,GRC,,"14/193,719",2034-02-28 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"A multilayer coating may be used to protect engine components or other components from high temperatures and/or corrosion. An environmental barrier coating (EBC) layer may be deposited from a liquid phase, a vapor phase, or both the liquid and vapor phases simultaneously, via Plasma Spray Physical Vapor Deposition (PS-PVD) to form a planar structure. A topcoat layer may be deposited from the vapor phase via PS-PVD to form a columnar structure. An interlayer (i.e., mixture layer) may be deposited from the liquid phase, the vapor phase, or both the liquid and vapor phases simultaneously, between the EBC layer and the topcoat layer via PS-PVD. The EBC layer, the mixture layer, and the topcoat layer may be applied via PS-PVD in a single deposition process.",Advanced Multilayer Environmental Barrier Coatings,LEW-19067-1,GRC,,"14/255,262",2034-04-17 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"A polymer matrix composite includes layers that alternate between a thin carbon fiber veil layer and a thicker base carbon fiber reinforcement layer. Each veil is coated with conductive carbon nanotubes (CNTs) prior to being added as a laminate layer. Epoxy resin fixes CNTs extended into adjacent reinforcement layers, which results in a composite improved in interlaminar strength, fracture toughness, and impact resistance. Thermal and electrical conductivity are also improved due to the conductive CNTs bridging the resin-insulating interlayer region. As the fuzzy fiber veil is not relied on to provide strength or stiffness to the composite structure, any damage to the veil will not affect composite integrity. Also, as the CNT growth is not on a replacement section of reinforcement layer, the composite avoids pitfalls of strength degradation, reinforcing phase continuity disruption, and residual stress introduction.",Improved Composite Damage Tolerance and Through Thickness Conductivity By Interleaving Carbon Fiber Veil Nanocomposites,LEW-19077-1,GRC,,"14/275,144",2034-05-12 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"Aerogels, aerogel composites and methods of making the same are discussed. One example method can include the act of creating a boehmite colloid and adding a hydrolyzed silicon precursor to form a sol. A reinforcement can be infused with the sol and dried to form an aerogel composite. Such a method can also include the acts of performing one or more solvent exchanges and subjecting the gel composite to supercritical drying. Additionally, such a method can include the act of heat treating the aerogel composite. The aerogel composite can be used in high temperature, flexible seals capable of withstanding temperatures, pressures, and compression levels associated with aerodynamic heating generated during flight and in aerospace applications.","High Temperature, Flexible Composite Seals for Aeronautics and Space Environments Incorporating Aerogel Insulation",LEW-19098-1,GRC,,"61/866,585",2034-08-11 00:00:00,NASA Glenn Research Center,Innovation Projects Office,,,,,ttp@grc.nasa.gov,
materials and coatings,"This invention is directed to a process for manufacturing a lightweight mirror from a single crystal material, such as single crystal silicon. As a near perfect single crystal material, single crystal silicon has much lower internal stress than a conventional material. This means much less distortion of the optical surface during the light weighting process. After being ground and polished, a single crystal silicon mirror is light weighted by removing material from the back side using ultrasonic machining. After the light weighting process, the single crystal silicon mirror may be used as-is or further figured by conventional polishing or ion milling, depending on the application and the operating wavelength.",Lightweight optical mirrors formed in single crystal substrate,GSC-14393-1,GSFC,7145739,"10/385,166",2014-12-05 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A process for manufacturing carbon nanotubes, including a step of inducing electrical current through a carbon anode and a carbon cathode under conditions effective to produce the carbon nanotubes, wherein the carbon cathode is larger than the carbon anode. Preferably, a welder is used to induce the electrical current via an arc welding process. Preferably, an exhaust hood is placed on the anode, and the process does not require a closed or pressurized chamber. The process provides high-quality, single-walled carbon nanotubes, while eliminating the need for a metal catalyst.",Method of manufacturing carbon nanotubes,GSC-14435-1,GSFC,6740224,"10/173,533",2022-06-11 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A non-catalytic process for the production of carbon nanotubes includes supplying an electric current to a carbon anode and a carbon cathode which have been securely positioned in the open atmosphere with a gap between them. The electric current creates an electric arc between the carbon anode and the carbon cathode, which causes carbon to be vaporized from the carbon anode and a carbonaceous residue to be deposited on the carbon cathode. Inert gas is pumped into the gap to flush out oxygen, thereby preventing interference with the vaporization of carbon from the anode and preventing oxidation of the carbonaceous residue being deposited on the cathode. The anode and cathode are cooled while electric current is being supplied thereto. When the supply of electric current is terminated, the carbonaceous residue is removed from the cathode and is purified to yield carbon nanotubes.",Method for manufacturing high quality carbon nanotubes,GSC-14601-1,GSFC,7008605,"10/292,952",2022-11-08 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"Disclosed herein is a method for bonding dissimilar materials using an elastic adhesive to permit the bond to withstand variations in temperature and pressure. The use of elastic adhesive accommodates previous problems associated with large differences in thermal expansion coefficient between dissimilar materials, and provides a thermally and chemically stable materials combination that withstands large thermal shock loads, such as may be experienced in a space environment. Also disclosed herein is a method for attaching a coating to a structure. In particular applications, the coating may be (1) specular (greater than 98% specularity); or (2) RF reflective for use in applications including but not limited to high frequency satellite communications.",Specular coatings for composite structures,GSC-14683-1,GSFC,8480826,"11/736,874",2027-04-18 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A method of forming an array of pointed structures comprises depositing a ferrofluid on a substrate, applying a magnetic field to the ferrofluid to generate an array of surface protrusions, and solidifying the surface protrusions to form the array of pointed structures. The pointed structures may have a tip radius ranging from approximately 10 nm to approximately 25 .mu.m. Solidifying the surface protrusions may be carried out at a temperature ranging from approximately 10 degrees C. to approximately 30 degrees C.",Method of forming pointed structures,GSC-14871-1,GSFC,7935297,"11/370,396",2026-03-06 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,A process is provided for producing a salt pill for use in very low temperature adiabatic demagnetization refrigerators (ADRs). The method can include providing a thermal bus in a housing. The thermal bus can include an array of thermally conductive metal conductors. A hydrated salt can be grown on the array of thermally conductive metal conductors. Thermal conductance can be provided to the hydrated salt.,ADR salt pill design and crystal growth process for hydrated magnetic salts,GSC-14873-1,GSFC,8357211,"12/872,445 ",2030-08-31 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,A process for applying blocking contacts on an n-type CdZnTe specimen includes cleaning the CdZnTe specimen; etching the CdZnTe specimen; chemically surface treating the CdZnTe specimen; and depositing blocking metal on at least one of a cathode surface and an anode surface of the CdZnTe specimen.,Blocking contacts for N-type cadmium zinc telluride,GSC-15136-1,GSFC,8093094,"12/137,844",2028-06-12 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"The present invention is directed to a method of bonding at least two surfaces together. The methods step of the present invention include applying a strip of adhesive to a first surface along a predefined outer boundary of a bond area and thereby defining a remaining open area there within. A second surface, or gusset plate, is affixed onto the adhesive before the adhesive cures. The strip of adhesive is allowed to cure and then a second amount of adhesive is applied to cover the remaining open area and substantially fill a void between said first and second surfaces about said bond area. A stencil may be used to precisely apply the strip of adhesive. When the strip cures, it acts as a dam to prevent overflow of the subsequent application of adhesive to undesired areas. The method results in a precise bond area free of undesired shapes and of a preferred profile which eliminate the drawbacks of the prior art bonds.",Shape Bonding method,GSC-15377-1,GSFC,7811406,"12/249,265",2028-10-10 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A polishing fixture assembly for an optical element includes a first composite panel, a second composite panel, and a core member sandwiched between the first composite panel and the second composite panel and coupling the first composite panel to the second composite panel. At least one mirror mounting insert is coupled to each of the first and second composite panels.",GRAPHITE COMPOSITE PANEL POLISHING FIXTURE AND ASSEMBLY,GSC-15911-1,GSFC,0,13/217965,1970-01-01 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A method of making a mirror from a single crystal blank may include fine grinding top and bottom surfaces of the blank to be parallel. The blank may then be heat treated to near its melting temperature. An optical surface may be created on an optical side of the blank. A protector may be bonded to the optical surface. With the protector in place, the blank may be light weighted by grinding a non-optical surface of the blank using computer controlled grinding. The light weighting may include creating a structure having a substantially minimum mass necessary to maintain distortion of the mirror within a preset limit. A damaged layer of the non-optical surface caused by light weighting may be removed with an isotropic etch and/or repaired by heat treatment. If an oxide layer is present, the entire blank may then be etched using, for example, hydrofluoric acid. A reflecting coating may be deposited on the optical surface.","METHOD OF MAKING LIGHTWEIGHT, SINGLE CRYSTAL MIRROR",GSC-15951-1,GSFC,0,13/222839,1970-01-01 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"Disclosed herein is a system for an apodization mask composed of multi-walled carbon nanotubes (MWCNTs) for absorbing unwanted stray light. An apodization mask is a precise pattern or shape that is mathematically derived using light scattering measurement techniques to achieve optimal light absorption. 
Also disclosed herein is an apparatus for a duplex telescope with stray light suppressing capabilities comprising: a primary mirror for transmitting and receiving light; a secondary mirror for defocusing transmitted light onto the primary mirror and for focusing received light; a photodetector which receives light; a laser transmitter which transmits light; and an apodization mask for absorbing stray transmitting light.",SYSTEM AND METHOD FOR NANOSTRUCTURE APODIZATION MASK FOR TRANSMITTER SIGNAL SUPPRESSION IN A DUPLEX TELESCOPE,GSC-16029-1,GSFC,,13/193249,1970-01-01 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A molecular adsorber coating for collecting and retaining outgassed molecular effluent may include a mass fraction of about 0.20 to about 0.40 of zeolite, a mass fraction of about 0.40 to about 0.80 of a binder, and a mass fraction of about 0.0 to about 0.30 of water. The mass ratio of the binder to the zeolite may be in a range of about 1.6 to about 2.4. The binder may comprise, on a mass basis, about 30 to about 40 percent particles of nonporous silica dispersed in a liquid phase.",Molecular Adsorber Coating,GSC-16105-1,GSFC,,13/197214,1970-01-01 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A system, apparatus and method employing carbon nanotubes on substrates such as silicon, titanium, copper, stainless steel and other substrates, where the carbon nanotubes are blacker than existing paints and coatings, thereby providing an exponential increase in stray light suppression depending on the number of bounces of such treated surfaces. Additionally, the present invention is directed to techniques to better absorb and radiate unwanted energies. Further, the alternate substrates offer strength of material for numerous componentns and in numerous physical applications. The present invention is also directed to techniques for improving the adhesion of the nanotuebes to the alternate substrate materials and also extending the wavelength of operation from the near ultraviolet to the far infrared portion of the spectrum (0.2 microns to 120 microns wavelength.)","SYSTEM, APPARATUS AND METHOD FOR EMITTANCE CONTROL AND SUPPRESSING STRAY LIGHT",GSC-16247-1,GSFC,,13/570100,1970-01-01 00:00:00,NASA Goddard Space Flight Center,Innovative Partnerships Program Office,Code 504,,"Greenbelt, MD 20771",,techtransfer@gsfc.nasa.gov,(301) 286-5810
materials and coatings,"A process for removing indium oxide from indium bumps in a flip-chip structure to reduce contact resistance, by a multi-step plasma treatment. A first plasma treatment of the indium bumps with an argon, methane and hydrogen plasma reduces indium oxide, and a second plasma treatment with an argon and hydrogen plasma removes residual organics. The multi-step plasma process for removing indium oxide from the indium bumps is more effective in reducing the oxide, and yet does not require the use of halogens, does not change the bump morphology, does not attack the bond pad material or under-bump metallization layers, and creates no new mechanisms for open circuits.",Method to improve indium bump bonding via indium oxide removal using a multi-step plasma process,NPO-45911-1,JPL,8163094,"12/508,006",2030-08-16 00:00:00,NASA Jet Propulsion Laboratory,California Institute of Technology,Mail Stop JPL:8200,4800 Oak Grove Drive,"Pasadena, CA 91109",Debora Wolfenbarger,Debora.L.Wolfenbarger@nasa.gov,(818) 354-3829
materials and coatings,,Pulsed Plasma Lubrication Device and Method,NPO-47881-1,JPL,,"14/151,684",1970-01-01 00:00:00,NASA Jet Propulsion Laboratory,California Institute of Technology,Mail Stop JPL:8200,4800 Oak Grove Drive,"Pasadena, CA 91109",Debora Wolfenbarger,Debora.L.Wolfenbarger@nasa.gov,(818) 354-3829
materials and coatings,"Flexible multi-shock shield system and method are disclosed for defending against hypervelocity particles. The flexible multi-shock shield system and method may include a number of flexible bumpers or shield layers spaced apart by one or more resilient support layers, all of which may be encapsulated in a protective cover. Fasteners associated with the protective cover allow the flexible multi-shock shield to be secured to the surface of a structure to be protected.",Flexible multi-shock shield,MSC-23314-1,JSC,6899009,"09/892,355",2021-06-26 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
materials and coatings,"A method for increasing the compressive modulus of aerogels comprising: providing aerogel substrate comprising a bubble matrix in a chamber; providing monomer to the chamber, the monomer comprising vapor phase monomer which polymerizes substantially free of polymerization byproducts; depositing monomer from the vapor phase onto the surface of the aerogel substrate under deposition conditions effective to produce a vapor pressure sufficient to cause the vapor phase monomer to penetrate into the bubble matrix and deposit onto the surface of the aerogel substrate, producing a substantially uniform monomer film; and, polymerizing the substantially uniform monomer film under polymerization conditions effective to produce polymer coated aerogel comprising a substantially uniform polymer coating substantially free of polymerization byproducts. Polymer coated aerogel comprising aerogel substrate comprising a substantially uniform polymer coating, said polymer coated aerogel comprising porosity and having a compressive modulus greater than the compressive modulus of the aerogel substrate, as measured by a 100 lb. load cell at 1 mm/minute in the linear range of 20% to 40% compression.",Method for nanoencapsulation of aerogels and nanoencapsulated aerogels produced by such method,MSC-23563-1,JSC,7270851,"10/985,081",2025-05-14 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
materials and coatings,"Polymer coated aerogel comprising aerogel substrate comprising a substantially uniform polymer coating. In an embodiment, the polymer coated aerogel is comprised of a porosity and has a compressive modulus greater than the compressive modulus of the aerogel substrate.",Nanoencapsulated aerogels produced by monomer vapor deposition and polymerization,MSC-23563-2,JSC,8039099,"11/848,332",2025-10-18 00:00:00,NASA Johnson Space Center,Technology Transfer and Commercialization Office (TTO),2101 NASA Parkway,Mail Code: AO5,"Houston, Texas 77058",,jsc-techtran@mail.nasa.gov,(281) 483-3809
materials and coatings,"Coating compositions and methods of their use are described herein for the reduction of corrosion in imbedded metal structures. The coatings are applied as liquids to an external surface of a substrate in which the metal structures are imbedded. The coatings are subsequently allowed to dry. The liquid applied coatings provide galvanic protection to the imbedded metal structures. Continued protection can be maintained with periodic reapplication of the coating compositions, as necessary, to maintain electrical continuity. Because the coatings may be applied using methods similar to standard paints, and because the coatings are applied to external surfaces of the substrates in which the metal structures are imbedded, the corresponding corrosion protection may be easily maintained. The coating compositions are particularly useful in the protection of metal-reinforced concrete.",Liquid galvanic coatings for protection of imbedded metals,KSC-12049,KSC,6627065,"09/977,531",2021-12-01 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"Thermal insulation systems and with methods of their production. The thermal insulation systems incorporate at least one reflection layer and at least one spacer layer in an alternating pattern. Each spacer layer includes a fill layer and a carrier layer. The fill layer may be separate from the carrier layer, or it may be a part of the carrier layer, i.e., mechanically injected into the carrier layer or chemically formed in the carrier layer. Fill layers contain a powder having a high surface area and low bulk density. Movement of powder within a fill layer is restricted by electrostatic effects with the reflection layer combined with the presence of a carrier layer, or by containing the powder in the carrier layer. The powder in the spacer layer may be compressed from its bulk density. The thermal insulation systems may further contain an outer casing. Thermal insulation systems may further include strips and seams to form a matrix of sections. Such sections serve to limit loss of powder from a fill layer to a single section and reduce heat losses along the reflection layer.",Thermal insulation systems,KSC-12092-2,KSC,6967051,"09/939,286",2021-09-07 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"A conductive ferromagnetic composition of matter comprising sulfonated lignin or a sulfonated polyflavonoid, or derivatives thereof, and ferromagnetic iron oxide particles is disclosed. Among the uses of the composition is to shield electromagnetic radiation. The ferromagnetic iron oxide particles of the composition are surprisingly stable to acid, and are easily and inexpensively formed from iron cations in solution.",Ferromagnetic conducting lignosulfonic acid-doped polyaniline nanocomposites,KSC-12190,KSC,6764617,"09/994,996",2021-11-16 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"The invention provides coatings useful for preventing corrosion of metals. The coatings comprise a film-forming resin and conductive polymers comprising linearly conjugated .pi.-systems and residues of sulfonated lignin or a sulfonated polyflavonoid or derivatives of solfonated lignin or a sulfonated polyflavonoid. The invention also provides a latex formulation of the coatings, and articles of manufacture comprising a metal substrate and a coating in contact with the metal substrate.",Corrosion prevention of cold rolled steel using water dispersible lignosulfonic acid doped polyaniline,KSC-12191-2,KSC,7179404,"11/215,205",2025-08-26 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"Aqueous droplets encapsulated in a flame retardant polymer are useful in suppressing combustion. Upon exposure to a flame, the encapsulated aqueous droplets rupture and vaporize, removing heat and displacing oxygen to retard the combustion process. The polymer encapsulant, through decomposition, may further add free radicals to the combustion atmosphere, thereby further retarding the combustion process. The encapsulated aqueous droplets may be used as a replacement to halon, water mist and dry powder flame suppression systems.","Flame suppression agent, system and uses",KSC-12236,KSC,8511396,"10/476,175",2031-02-28 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,,"Flame Suppression Agent, System and Uses",KSC-12236-CIP,KSC,,"13/428,736",1970-01-01 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,A self-healing system for an insulation material initiates a self-repair process by rupturing a plurality of microcapsules disposed on the insulation material. When the plurality of microcapsules are ruptured reactants within the plurality of microcapsules react to form a replacement polymer in a break of the insulation material. This self-healing system has the ability to repair multiple breaks in a length of insulation material without exhausting the repair properties of the material.,Process for self-repair of insulation material,KSC-12539,KSC,7285306,"10/684,064",2025-09-06 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"A self-healing system for an insulation material initiates a self-repair process by rupturing a plurality of microcapsules disposed on the insulation material. When the plurality of microcapsules are ruptured, reactants within the plurality of microcapsules react to form a replacement polymer in a break of the insulation material. This self-healing system has the ability to repair multiple breaks in a length of insulation material without exhausting the repair properties of the material.",Self-healing wire insulation,KSC-12539-2,KSC,8119238,"11/856,218",2030-06-04 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"A self-healing system for an insulation material initiates a self-repair process by rupturing a plurality of microcapsules disposed on the insulation material. When the plurality of microcapsules are ruptured, reactants within the plurality of microcapsules react to form a replacement polymer in a break of the insulation material. This self-healing system has the ability to repair multiple breaks in a length of insulation material without exhausting the repair properties of the material.",Self-Healing Wire Insulation,KSC-12539-3,KSC,0,"13/348,861",1970-01-01 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"A liquid coating composition including a coating vehicle and composite powder particles disposed within the coating vehicle. Each composite powder particle may include a magnesium component, a zinc component, and an indium component.",Composite powder particles,KSC-12631,KSC,7582147,"11/208,122",2027-07-13 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,The invention provides polymer blends containing polyhydroxyamide and one or more flammable polymers. The polymer blends are flame retardant and have improved durability and heat stability compared to the flammable polymer portion of the blends. Articles containing the polymer blends are also provided.,Approach for achieving flame retardancy while retaining physical properties in a compatible polymer matrix,KSC-12697,KSC,7309738,"10/962,827",2025-10-20 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,The invention provides polymer blends containing polyhydroxyamide and one or more flammable polymers. The polymer blends are flame retardant and have improved durability and heat stability compared to the flammable polymer portion of the blends. Articles containing the polymer blends are also provided.,Approach for achieving flame retardancy while retaining physical properties in a compatible polymer matrix,KSC-12697-3,KSC,7968648,"11/935,093",2029-06-05 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,"Coatings and methods are provided. An embodiment of the coating includes microcapsules that contain at least one of a corrosion inhibitor, a film-forming compound, and an indicator. The microcapsules are dispersed in a coating vehicle. A shell of each microcapsule breaks down in the presence of an alkaline condition, resulting from corrosion.",Coatings and methods for corrosion detection and/or reduction,KSC-12723,KSC,7790225,"11/239,445",2029-04-07 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
